Subject,Age,GoAcc,GoRT,NoGoAcc,NoGoRT,LowGoAcc,LowGoRT,LowRTVar,HighGoAcc,HighGoRT,HighRTVar,LowNoGoAcc,LowNoGoRT,HighNoGoAcc,HighNoGoRT,GoAccDiff,Dprime,LowDprime,HighDprime
Sub043,16.78576318,0.9921875,0.526429134,0.921875,0.46616,1,0.538445312,0.12101341,0.984375,0.514222222,0.119619425,0.90625,0.5271,0.9375,0.37475,-0.015625,3.835356154,3.735569914,3.687995238
Sub044,16.79671458,0.7890625,0.553754455,0.796875,0.459653846,0.796875,0.560703922,0.150822566,0.78125,0.546666,0.178485804,0.78125,0.4519,0.8125,0.4687,-0.015625,1.633683444,1.606932639,1.66356832
Sub045,16.84599589,0.9765625,0.4475288,0.890625,0.411428571,0.984375,0.444022222,0.077977291,0.96875,0.451091935,0.074771103,0.875,0.407825,0.90625,0.416233333,-0.015625,3.217286645,3.304224074,3.180742765
Sub046,16.862423,1,0.392226563,0.59375,0.367353846,1,0.39555625,0.073311945,1,0.388896875,0.068005901,0.625,0.363666667,0.5625,0.370514286,0,2.897269578,2.73619838,2.574869701
Sub047,17.23203285,0.8828125,0.489863717,0.875,0.437075,0.859375,0.487201818,0.095117174,0.90625,0.492387931,0.105010265,0.875,0.392425,0.875,0.481725,0.046875,2.339513731,2.227864947,2.468360278
Sub048,17.25667351,0.984375,0.736861111,0.953125,0.736233333,1,0.744001562,0.142275554,0.96875,0.729490323,0.154464905,0.96875,0.8003,0.9375,0.7042,-0.03125,3.829814417,4.280290884,3.396852412
Sub049,17.28405202,1,0.55025625,0.90625,0.484266667,1,0.558367188,0.065869956,1,0.542145313,0.06352133,0.9375,0.53365,0.875,0.459575,0,3.978078366,3.951679561,3.567908397
Sub050,17.3744011,0.65625,0.469039286,0.8125,0.430925,0.625,0.4691675,0.078465149,0.6875,0.468922727,0.060115837,0.71875,0.427588889,0.90625,0.440933333,0.0625,1.289396624,0.897771526,1.806787308
Sub051,17.4072553,1,0.4988125,0.921875,0.46464,1,0.49599375,0.087259316,1,0.50163125,0.060636455,0.90625,0.468666667,0.9375,0.4586,0,4.077864607,3.735569914,3.951679561
Sub052,17.48939083,1,0.560265625,0.96875,0.4375,1,0.5513875,0.094478014,1,0.56914375,0.106848321,1,nan,0.9375,0.4375,0,4.522799336,4.57143371,3.951679561
Sub053,17.53045859,0.9921875,0.457429134,0.71875,0.4128,0.984375,0.459868254,0.062187147,1,0.455028125,0.07041617,0.75,0.4285375,0.6875,0.40021,0.015625,2.996691178,2.828364444,2.906335427
Sub054,17.59616701,0.9609375,0.505253659,0.90625,0.461116667,0.9375,0.509793333,0.129329937,0.984375,0.500930159,0.104864477,0.90625,0.445266667,0.90625,0.476966667,0.046875,3.079681308,2.852131442,3.471885591
Sub055,17.61806982,1,0.415089844,0.890625,0.359185714,1,0.417725,0.064390197,1,0.412454687,0.044793717,0.875,0.35655,0.90625,0.3627,0,3.889926228,3.567908397,3.735569914
Sub056,17.70568104,1,0.481660938,0.90625,0.432983333,1,0.4699875,0.069000544,1,0.493334375,0.185641071,0.96875,0.3503,0.84375,0.44952,0,3.978078366,4.280290884,3.427549185
Sub057,17.80698152,1,0.402799219,0.953125,0.3689,1,0.395814063,0.045795868,1,0.409784375,0.050625865,0.96875,0.3672,0.9375,0.36975,0,4.336007191,4.280290884,3.951679561
Sub058,17.86995209,0.984375,0.442554762,0.640625,0.432473913,1,0.442566667,0.07894834,0.972972973,0.442545833,0.091019775,0.538461538,0.450433333,0.710526316,0.412881818,-0.027027027,2.514004586,2.451642625,2.481326096
Sub059,17.96577687,0.984375,0.417042063,0.921875,0.35326,1,0.407392187,0.055842066,0.96875,0.427003226,0.063181555,0.90625,0.3556,0.9375,0.34975,-0.03125,3.571671832,3.735569914,3.396852412
Sub060,18.16290212,1,0.467542187,0.890625,0.422585714,1,0.463940625,0.079893593,1,0.47114375,0.0977822,0.90625,0.4186,0.875,0.425575,0,3.889926228,3.735569914,3.567908397
Sub061,18.20944559,1,0.429678906,0.921875,0.41232,1,0.430292188,0.057517463,1,0.429065625,0.060042977,0.90625,0.436166667,0.9375,0.37655,0,4.077864607,3.735569914,3.951679561
Sub062,18.40109514,1,0.439558594,0.640625,0.404847826,1,0.445673438,0.072602447,1,0.43344375,0.071424408,0.65625,0.4171,0.625,0.393616667,0,3.02019736,2.819809082,2.73619838
Sub063,18.57357974,0.9921875,0.452540945,0.96875,0.42,0.984375,0.457665079,0.069184007,1,0.447496875,0.05514821,0.9375,0.42,1,nan,0.015625,4.280290884,3.687995238,4.57143371
